MON000; Great Library of Solana ; F; Landmark
MON001; Prism, Sculptor of Arc Light ; T; Hero
MON002; Prism ; T; Hero
MON003; Luminaris ; M; Weapon
MON004; Herald of Erudition ; M; Action
MON005; Arc Light Sentinel ; M; Action
MON006; Genesis ; M; Action
MON007; Herald of Judgment (2); R; Action
MON008; Herald of Triumph (1); R; Action
MON009; Herald of Triumph (2); R; Action
MON010; Herald of Triumph (3); R; Action
MON011; Parable of Humility (2); R; Instant
MON012; Merciful Retribution (2); R; Instant
MON013; Ode to Wrath (2); R; Instant
MON014; Herald of Protection (1); C; Action
MON015; Herald of Protection (2); C; Action
MON016; Herald of Protection (3); C; Action
MON017; Herald of Ravages (1); C; Action
MON018; Herald of Ravages (2); C; Action
MON019; Herald of Ravages (3); C; Action
MON020; Herald of Rebirth (1); C; Action
MON021; Herald of Rebirth (2); C; Action
MON022; Herald of Rebirth (3); C; Action
MON023; Herald of Tenacity (1); C; Action
MON024; Herald of Tenacity (2); C; Action
MON025; Herald of Tenacity (3); C; Action
MON026; Wartune Herald (1); C; Action
MON027; Wartune Herald (2); C; Action
MON028; Wartune Herald (3); C; Action
MON029; Ser Boltyn, Breaker of Dawn ; T; Hero
MON030; Boltyn ; T; Hero
MON031; Raydn, Duskbane ; M; Weapon
MON032; Bolting Blade ; M; Action
MON033; Beacon of Victory ; M; Action
MON034; Lumina Ascension ; M; Action
MON035; V of the Vanguard (2); R; Action
MON036; Battlefield Blitz (1); R; Action
MON037; Battlefield Blitz (2); R; Action
MON038; Battlefield Blitz (3); R; Action
MON039; Valiant Thrust (1); R; Action
MON040; Valiant Thrust (2); R; Action
MON041; Valiant Thrust (3); R; Action
MON042; Bolt of Courage (1); C; Action
MON043; Bolt of Courage (2); C; Action
MON044; Bolt of Courage (3); C; Action
MON045; Cross the Line (1); C; Action
MON046; Cross the Line (2); C; Action
MON047; Cross the Line (3); C; Action
MON048; Engulfing Light (1); C; Action
MON049; Engulfing Light (2); C; Action
MON050; Engulfing Light (3); C; Action
MON051; Express Lightning (1); C; Action
MON052; Express Lightning (2); C; Action
MON053; Express Lightning (3); C; Action
MON054; Take Flight (1); C; Action
MON055; Take Flight (2); C; Action
MON056; Take Flight (3); C; Action
MON057; Courageous Steelhand (1); C; Action
MON058; Courageous Steelhand (2); C; Action
MON059; Courageous Steelhand (3); C; Action
MON060; Vestige of Sol ; L; Equipment
MON061; Halo of Illumination ; C; Equipment
MON062; Celestial Cataclysm ; M; Action
MON063; Soul Shield ; M; Action
MON064; Soul Food ; M; Action
MON065; Tome of Divinity ; M; Action
MON066; Invigorating Light (1); R; Action
MON067; Invigorating Light (2); R; Action
MON068; Invigorating Light (3); R; Action
MON069; Glisten (1); R; Action
MON070; Glisten (2); R; Action
MON071; Glisten (3); R; Action
MON072; Illuminate (1); C; Action
MON073; Illuminate (2); C; Action
MON074; Illuminate (3); C; Action
MON075; Impenetrable Belief (1); C; Action
MON076; Impenetrable Belief (2); C; Action
MON077; Impenetrable Belief (3); C; Action
MON078; Rising Solartide (1); C; Action
MON079; Rising Solartide (2); C; Action
MON080; Rising Solartide (3); C; Action
MON081; Seek Enlightenment (1); C; Action
MON082; Seek Enlightenment (2); C; Action
MON083; Seek Enlightenment (3); C; Action
MON084; Blinding Beam (1); C; Action
MON085; Blinding Beam (2); C; Action
MON086; Blinding Beam (3); C; Action
MON087; Ray of Hope (2); C; Action
MON088; Iris of Reality ; T; Weapon
MON089; Phantasmal Footsteps ; L; Equipment
MON090; Dream Weavers ; C; Equipment
MON091; Phantasmaclasm ; M; Action
MON092; Prismatic Shield (1); R; Action
MON093; Prismatic Shield (2); R; Action
MON094; Prismatic Shield (3); R; Action
MON095; Phantasmify (1); R; Action
MON096; Phantasmify (2); R; Action
MON097; Phantasmify (3); R; Action
MON098; Enigma Chimera (1); C; Action
MON099; Enigma Chimera (2); C; Action
MON100; Enigma Chimera (3); C; Action
MON101; Spears of Surreality (1); C; Action
MON102; Spears of Surreality (2); C; Action
MON103; Spears of Surreality (3); C; Action
MON104; Spectral Shield ; T; Aura
MON105; Hatchet of Body ; T; Weapon
MON106; Hatchet of Mind ; T; Weapon
MON107; Valiant Dynamo ; L; Equipment
MON108; Gallantry Gold ; C; Equipment
MON109; Spill Blood ; M; Action
MON110; Dusk Path Pilgrimage (1); R; Action
MON111; Dusk Path Pilgrimage (2); R; Action
MON112; Dusk Path Pilgrimage (3); R; Action
MON113; Plow Through (1); R; Action
MON114; Plow Through (2); R; Action
MON115; Plow Through (3); R; Action
MON116; Second Swing (1); C; Action
MON117; Second Swing (2); C; Action
MON118; Second Swing (3); C; Action
MON119; Levia, Shadowborn Abomination ; T; Hero
MON120; Levia ; T; Hero
MON121; Hexagore, the Death Hydra ; M; Weapon
MON122; Hooves of the Shadowbeast ; C; Equipment
MON123; Deep Rooted Evil ; M; Action
MON124; Mark of the Beast ; M; Action
MON125; Shadow of Blasmophet ; M; Action
MON126; Endless Maw (1); R; Action
MON127; Endless Maw (2); R; Action
MON128; Endless Maw (3); R; Action
MON129; Writhing Beast Hulk (1); R; Action
MON130; Writhing Beast Hulk (2); R; Action
MON131; Writhing Beast Hulk (3); R; Action
MON132; Convulsions from the Bellows of Hell (1); R; Action
MON133; Convulsions from the Bellows of Hell (2); R; Action
MON134; Convulsions from the Bellows of Hell (3); R; Action
MON135; Boneyard Marauder (1); C; Action
